author,comment,likes,published_at,reply_count
@alkalisoda1968,"RM1×10=RM10
Kalau derma singgit dapat 10 ringgit .lepas beli topup",23,2020-06-19 00:19,0
@thivaagarankumaran5718,"Bro seriously a good one , i watched ur video without skipping ads , terbaik bruh, the best part of Malaysian when helping another human regards his race ! Kudos",23,2020-05-26 10:36,0
@anas69420,"Manusia sebenarnya, semakin susah kita, semakin perlu kita bersedekah.
Semoga apa yang korang buat ni dapat membuka mata manusia.

Amin...",23,2020-05-29 02:54,2
@mohdabqarijeffery1846,Proud of Sarawakian❤️👍,22,2020-06-24 06:56,0
@ayusala5746,Aku bengang lah dengan iklan isa. 😂😂😂😂.. Tengah syok syok tengok tetiba ade iklan OCTA FX..... 😅,22,2020-06-29 14:38,4
@meyrusli6493,"Dah cakap

5hari 1juta view

Budak Melayu kita memang terbaik",21,2020-05-30 21:59,0
@mohdfaris4571,"Mr beast version Malaysia
Yg kat betul
Like👇",20,2020-05-25 11:00,1
@alliffadzli7890,1:42 abang ferghegho ghoshe 😂.,19,2020-05-25 16:05,0
@blackscorpion5700,yoυн are тнe вeѕт ιѕa ι love all vιdeoѕ carry one ❤️🔥,19,2020-05-25 11:45,0
@edynor7013,Shah pandai blakon. Sejuk2 je dpt 5000. Semoga selalu skses all isarb clan.,19,2020-05-26 01:02,0
@_amindstudios2563,antar youtuber yg humble and loaded,19,2020-05-30 12:05,0
@undertakerundertaker3036,Org sarawak rupa nya yg bg duit tu. Bangga aku!!.semoga di murahkn rezeki bro,19,2020-05-29 05:12,0
@wannurulshafinazbtnoorzanr9114,"I would love to see all of yours channel isarb it a lot of good content , but this video make me so touched 😢",19,2020-05-30 00:30,0
@ahmadzakimatyaacob4496,Terbaik la geng Isa Isarb..Aku mmg lama dh tgk n subscribed ko bro. Cumo ambo xpernah komen je.. Betul ke shah tu asal Kelantan?,19,2020-08-16 09:37,0
@fzpiak,Well done isarb n the geng!👍         Salam from Spore🇸🇬,19,2020-05-25 22:54,0
@mackdel9178,15:51 no bersalaman bro its corona,18,2020-05-25 18:45,2
@zalinajalil3269,7:47 pandai ek shah buat cerita terbaek,18,2020-05-25 14:51,2
@amyryzens5219,"sptut nya isa buat xprmen ni , jgn lh pkai baju mcm"" tu😂 , tukr baju untuk nampak sikit real dia mcm pengemis , video bgus👍",18,2020-05-26 04:33,3
@tukangrusuu7406,"Abang SHAH sangat profesional dalam akting.

Saya tengok konten abang karena ingin tahu di negare Malaysia macem ape bang.
salam dari Indonesia.",18,2020-06-04 00:35,0
@sargunanrathakrishnan122,Sebaknya tengok org first bg duit tu. 😭 Huhu.,17,2020-06-18 02:06,0
@beyfid,Salute orang Sarawak 🤞❣️,17,2020-05-25 15:57,0
@marsiahomar2584,"Hello Isa Isarb ""
Di you are the best""
I like you all  post video"" to revivie people.
You are the better"".
Isa Isarb
comment - demingguyussof",17,2020-05-28 00:42,0
@pijiee,10:55 pak cik ni da aim dulu da kat 8:48 die kata wow free money 🤑🤑,17,2020-05-29 07:48,4
@muhamadhanif6998,Kenapa aku menangis? Mungkin aku pernah rasa tempat tu 😭 semoga kita semua dipermudahkan urusan dan selalu dilimpahkan rezeki yg melimpah ruah 🤲,17,2020-05-25 19:21,0
@idlanhakim3991,11:18 orng tu tak puasa ke siap gantung rpm lagi,16,2020-05-25 12:02,2
@nhjay5321,"ya allah sebaknya time lelaki sarawak tu bagi duit, padahal dia pun tengah tak kerja. adoiii dah pakai mekap nangiss pula",15,2020-06-03 23:36,0
@mia.790,I'm starting to wonder how many camera la Isa ada🤧,15,2020-07-28 05:37,0
@prismo8bp,aku tgk member isarb melayu ni nmpk mcm warpath mobile legend 😂,15,2020-05-29 12:21,1
@Hykel69,"Assalammualaikum bro, i send you a DM through your Instagram and also an email. Ada masa awak check ya bro, thank you and stay safe buddy",15,2020-05-25 10:30,0
@shashaizzati254,Baiknyaa yang buat mycar tu siap nak tumpangkan lagi dekat naviend omg respect,15,2020-05-25 12:52,0
@afifzaidi8744,"THIS IS THE BEST VIDEO, PLEASEEE MAKE THIS KIND OF VIDEO, BRING BACK OLD ISA ISARB ! GUNA ACTOR PUN TAKPE JANJI VIDEO JENIS JENIS MACAM NI",15,2020-05-25 19:21,0
@yoodoxachilles1630,Terbaik la abg Isa Isarb.. semoga Allah kurniakan rezeki yang melimpah ruah dan panjangkan umur...amiin..,14,2020-05-25 12:05,0
@amarsyauqkhir5037,Pling xover antara yg jd plakon mintak sedekah... Isa the best xover n lawak..... Bdekah 🤝😁😁,14,2020-05-26 06:13,0
@atiliaanuar7274,I’ve been so emotional right now 😭,14,2020-06-22 09:27,0
@solehahsolehah5258,Semoga bro Isa di murahi rezeki & di lindungi ALLAH SWT.,14,2020-05-25 16:38,0
@capikchannel9680,14:20 kleng HAHAHAHAHAHA @isarb NAVIEND,14,2020-05-25 16:29,2
@johnsonperivasamy3793,"Isa isarb skuad 🏳️

Siapa rasa isa isarb akan dapat 1 million subscribers tahun ini
Like 👇

Isa isarb ❤️ ❤️ ❤️",14,2020-05-28 06:34,0
@vvthsywn,"Hopefully one day , I can be like you, isa 🥺",13,2020-07-03 09:20,2
@marengprapu2090,Makin bynk kita memberi... Semakin Allah ganda kan rezeki kita.. Allah x pernah mungkir janji.. terbaik video ni.. touching bro..,13,2020-05-28 01:20,0
@zerogxmingchannel1259,Isa Isarb mmng terbaik 👍 teruskan . semoga Allah murahkan rezeki anda semua . Isa Isarb  the best .,12,2020-05-25 10:54,0
@centokaymino3826,Tengok dia pegang duit banyak tu mcam  pegang kad je weh...may allah bless u,12,2020-06-01 06:33,0
@khairulajie8425,"Sumpah padu do isa ni... Respect doo.. 🤘...
Dia buat content dpt duit... Dlm masa yang sama dia.. guna duit untuk tolong org lain..
Harap ada ramai ank muda yg mcm ni...
Aku harap dapat face to face dgn kau isa.. 😂..
Boleh selfie 2 ke gelak2 sket pun jadi la .
Smoga rezeki kau bertmbah bro.. 👍🏻💪",12,2020-05-25 14:42,0
@suhaimibinmuntokahmad3140,Sebak rase nye . Lepas nie kalau orng yang mermelukan . Klau orng nk pinjam rm5 aku bagi 50,12,2020-06-02 07:20,0
@MarkIJ,Cool 💪🏼 what a beautiful soul.. keep doing a great job,12,2020-07-07 12:09,0
@Qynxie,"2:38 akibat terlalu single be like,",12,2020-05-25 14:22,0
@NurulHidayah-ls3cn,Respect isa isarb and team 🙌🏻 semoga dimurahkan rezeki 🤲🏻,12,2020-05-25 13:18,0
@FHASNOR,"6:12 mcm knal je , Jiran sebelah tu 😂",11,2020-05-29 07:46,0
@kingofheaven506,"Sy Youtuber baru, mohon subscribe ya sahabat semua... niat sy, nak bantu anak yatim dan fakir miskin. Amalan ni dah berlangsung selama turun temurun.. jadi, sy harap, dgn cara sy ni lebih membantu.terima kasih ya semua...sy memang peminat isarb... kalau personal sy, youtube Shah Azizul Halim. Tiap hari sy doakan isarb n team dan sahabat smua , semoga dipermudahkan segala urusan... besar pahala dieorg ni... 🥰",11,2020-05-28 05:02,0
@heskeyakeng7775,"Orang Sarawak memang pemurah hati, bangga",11,2020-05-25 18:47,2
